artist,name,date,time,currency,min_price,max_price,venue_name,venue_city,venue_state
Chappell Roan,Chappell Roan - The Midwest Princess Tour,2024-10-01,20:00:00,USD,50.5,80.5,FirstBank Amphitheater,Franklin,Tennessee
Chappell Roan,Chappell Roan Night,2024-09-28,21:00:00,USD,17.0,35.0,The Hall,Little Rock,Arkansas
Chappell Roan,CHAPPELL ROAN DANCE PARTY,2024-11-27,20:30:00,USD,10.0,10.0,Crescent Ballroom,Phoenix,Arizona
Chappell Roan,Pink Pony Club: Chappell Roan Night,2024-11-08,21:00:00,USD,20.0,48.0,Knitting Factory - Boise,Boise,Idaho
Chappell Roan,Club 90s Presents: Chappell Roan Night,2024-10-05,20:00:00,USD,15.0,15.0,Reverb,Reading,Pennsylvania
Chappell Roan,Hot To Go: The Chappell Roan Party,2024-10-04,20:00:00,USD,17.0,20.0,Riverside Municipal Auditorium,Riverside,California
Chappell Roan,Club 90s Presents Pink Pony Night - Chappell Roan Night,2024-09-28,21:00:00,USD,17.0,40.0,House of Blues New Orleans ,New Orleans,Louisiana
Chappell Roan,Pink Pony Club: A Chappell Roan Dance Night,2024-11-29,22:00:00,USD,5.0,90.0,Thundercat Lounge,Phoenix,Arizona
Chappell Roan,Club 90s Presents Pink Pony Night - Chappell Roan Night (18+),2024-10-05,21:00:00,USD,18.0,18.0,Bogart's,Cincinnati,Ohio
Chappell Roan,Club 90's presents: Pink Pony Club - Chappell Roan Night,2024-10-25,21:30:00,USD,20.0,20.0,The Song & Dance,Syracuse,New York
Chappell Roan,Club 90's Presents: Chappell Roan Night - Pink Pony Club,2024-09-28,22:00:00,USD,0.0,0.0,Pop's Concert Venue,Sauget,Illinois
Chappell Roan,Hot 360: A Chappell Roan and Charli XCX Dance Party,2024-10-04,20:30:00,USD,15.0,15.0,Off Broadway,Saint Louis,Missouri
Chappell Roan,Club 90's presents: PINK PONY CLUB - CHAPPELL ROAN NIGHT,2024-10-19,21:00:00,USD,15.0,15.0,Domino Room,Bend,Oregon
Chappell Roan,Club 90s Presents: Pink Pony Club Chappell Roan Night (18+W/ Valid ID),2024-10-05,20:00:00,USD,15.0,22.0,The Observatory North Park,San Diego,California
Chappell Roan,Club 90's presents - Chappell Roan Night - Pink Pony Club in West Palm Beach,2024-11-15,21:00:00,USD,15.0,15.0,The Banyan Live,West Palm Beach,Florida
